state	LIBR16393-IndivA_XXXX_XXX_2015-11-19
23960000	21.13
23970000	4.92
23980000	2.21
23990000	3.09
24000000	1.50
24010000	3.82
24020000	1.82
24030000	5.12
24040000	10.16
24050000	2.96
24060000	2.57
24070000	4.09
24080000	2.39
24090000	3.15
24100000	1.32
24110000	4.27
24120000	4.42
24130000	7.03
24140000	8.57
24150000	15.81
24160000	9.47
24170000	5.55
24180000	3.54
24190000	11.48
24200000	2.80
24210000	7.82
24220000	2.25
24230000	7.58
24240000	1.70
24250000	2.36
24260000	2.91
24270000	2.96
24280000	2.64
24290000	3.82
24300000	5.81
24310000	7.11
24320000	1.58
24330000	6.10
24340000	4.15
24350000	6.41
24360000	2.75
24370000	2.70
24380000	8.31
24390000	5.93
24400000	3.01
24410000	7.25
24420000	2.51
24430000	9.45
24440000	8.98
24450000	9.46
24460000	9.13
24470000	3.05
24480000	1.46
24490000	20.79
24500000	3.11
24510000	4.36
24520000	8.46
24530000	2.48
24540000	2.78
24550000	4.16
24560000	3.73
24570000	4.35
24580000	2.30
24590000	10.61
24600000	1.73
24610000	2.47
24620000	8.88
24630000	5.04
24640000	3.53
24650000	14.95
24660000	3.20
24670000	5.41
24680000	9.53
24690000	5.95
24700000	2.70
24710000	4.58
24720000	3.22
24730000	3.04
24740000	6.20
24750000	2.09
24760000	3.09
24770000	2.91
24780000	1.00
24790000	4.82
24800000	1.60
24810000	1.99
24820000	6.19
24830000	6.42
24840000	8.89
24850000	10.51
24860000	8.77
24870000	5.01
24880000	6.98
24890000	8.77
24900000	7.21
24910000	6.20
24920000	4.17
24930000	9.03
24940000	2.27
24950000	3.60
24960000	3.53
24970000	6.74
24980000	12.67
24990000	3.71
25000000	2.69
25010000	5.37
25020000	6.82
25030000	9.45
25040000	8.97
25050000	2.53
25060000	5.31
25070000	3.36
25080000	2.69
25090000	3.26
25100000	2.05
25110000	11.19
25120000	1.65
25130000	3.62
25140000	9.47
25150000	4.30
25160000	3.44
25170000	6.58
25180000	4.09
25190000	10.20
25200000	3.62
25210000	3.15
25220000	27.34
25230000	3.37
25240000	19.80
25250000	4.42
25260000	2.12
25270000	10.59
25280000	2.00
25290000	5.22
25300000	2.41
25310000	3.49
25320000	5.69
25330000	5.09
25340000	13.61
25350000	4.39
25360000	3.31
25370000	3.52
25380000	4.10
25390000	5.07
25400000	2.80
25410000	3.67
25420000	13.33
25430000	4.40
25440000	4.77
25450000	3.60
25460000	17.40
25470000	3.13
25480000	5.26
25490000	9.44
25500000	2.45
25510000	2.25
25520000	4.00
25530000	2.28
25540000	6.66
25550000	2.56
25560000	3.90
25570000	3.63
25580000	11.96
25590000	1.70
25600000	3.34
25610000	2.58
25620000	13.07
25630000	34.85
25640000	6.66
25650000	3.10
25660000	8.69
25670000	1.91
25680000	8.61
25690000	3.49
25700000	2.37
25710000	1.81
25720000	3.11
25730000	2.95
25740000	2.54
25750000	39.73
25760000	8.44
25770000	11.29
25780000	11.61
25790000	8.69
25800000	5.14
25810000	7.76
25820000	7.39
25830000	4.01
25840000	7.34
25850000	3.14
25860000	3.74
25870000	7.60
25880000	4.72
25890000	8.39
25900000	6.91
25910000	6.44
25920000	8.30
25930000	1.49
25940000	4.20
25950000	4.92
25960000	22.71
25970000	3.28
25980000	3.27
25990000	5.53
26000000	2.72
26010000	4.38
26020000	5.72
26030000	10.68
26040000	10.43
26050000	2.87
26060000	7.26
26070000	3.76
26080000	2.95
26090000	15.18
26100000	3.83
26110000	10.22
26120000	1.86
26130000	1.81
26140000	3.56
26150000	1.77
26160000	7.49
26170000	4.60
26180000	5.01
26190000	13.28
26200000	18.19
26210000	2.14
26220000	3.14
26230000	8.90
26240000	4.35
26250000	4.87
26260000	10.14
26270000	12.74
26280000	3.03
26290000	7.27
26300000	11.03
26310000	7.69
